"Product's Name","Title of Page","URL"
"Rejuvesnecedor para Mãos Mavala Rejuvenating Mask for Hands - 75ml","Rejuvesnecedor - Mavala Rejuvenating Mask for Hands - Época Cosméticos","https://www.epocacosmeticos.com.br/rejuvenating-mask-for-hands-mavala-rejuvesnecedor-para-maos/p"
"Primer para Sobrancelha Océane - My Beauty Choices - 1","Primer para Sobrancelha Océane - My Beauty Choices - Época Cosméticos","https://www.epocacosmeticos.com.br/primer-para-sobrancelha-oceane-my-beauty-choices/p"
"Milk Cleanser 250ml - Premier Cosméticos","Milk Cleanser - Época Cosméticos","https://www.epocacosmeticos.com.br/milk-cleanser-25449/p"
"Schwarzkopf  Blonde Me All Blondes - Condicionador - 250ml","Condicionador - Schwarzkopf  Blonde Me All Blondes - Época Cosméticos","https://www.epocacosmeticos.com.br/schwarzkopf-blonde-me-all-blondes-condicionador/p"
"La Bella Liss Salva Cachos - Água Termal Capilar - 300ml","Água Termal Capilar - La Bella Liss Salva Cachos - Época Cosméticos","https://www.epocacosmeticos.com.br/la-bella-liss-salva-cachos-agua-termal-capilar-/p"
"Sabonete Líquido Relaxante By Samia - 100g","Sabonete Líquido Relaxante By Samia - Época Cosméticos","https://www.epocacosmeticos.com.br/sabonete-liquido-relaxante-100-gr-19396/p"
"Fiorucci Erva Doce Kit - Sabonete Líquido + Loção Hidratante","Kit Fiorucci Erva Doce - Sabonete + Loção Hidratante - Época Cosméticos","https://www.epocacosmeticos.com.br/fiorucci-erva-doce-kit-sabonete-liquido-locao-hidratante/p"
"Primer Facial Missha - M BB Boomer - 40ml","Primer Facial Missha - M BB Boomer - Época Cosméticos","https://www.epocacosmeticos.com.br/primer-facial-missha-m-bb-boomer/p"
"Ralph Love Ralph Lauren Perfume Feminino Eau de Toilette - 30ml","Perfume Ralph Love Ralph Lauren Feminino - Época Cosméticos","https://www.epocacosmeticos.com.br/ralph-love-ralph-lauren-perfume-feminino-eau-de-toilette/p"
"Desodorante Spray Elixir Shakira Feminino - 150ml","Desodorante Spray Elixir Shakira Feminino - Época Cosméticos","https://www.epocacosmeticos.com.br/desodorante-spray-elixir-shakira-feminino/p"
"Angel Mugler - Perfume Feminino - Eau de Toilette","Perfume Angel Mugler Feminino - Época Cosméticos","https://www.epocacosmeticos.com.br/angel-eau-de-toilette-thierry-mugler-perfume-feminino/p"
"Sexy Mama The Balm - Pó Compacto - Translúcido","Sexy Mama The Balm - Pó Compacto - Época Cosméticos","https://www.epocacosmeticos.com.br/sexy-mama-the-balm-po-compactoo/p"
"Miss Rose Intense Phytoderm Perfume Feminino - Deo Colônia - 75ml","Perfume Miss Rose Intense Phytoderm - Feminino - Época Cosméticos","https://www.epocacosmeticos.com.br/miss-rose-intense-phytoderm-perfume-feminino-deo-colonia/p"
"Facial C Lotion 20 M&M - Rejuvenescedor Facial - 30ml","Facial C Lotion 20 M&M - Rejuvenescedor Facial - Época Cosméticos","https://www.epocacosmeticos.com.br/facial-c-lotion-20-mene-moy-rejuvenescedor-facial/p"
